snapshot_date,platform,keyword,occupation_code,industry_code,total_reported,stop_reason,occupation_label_de,occupation_label_en,industry_label_de,industry_label_en
2026-09-03,arbeit.swiss,222,,,11943,exhausted,,,,
2026-09-03,arbeit.swiss,741,,,4202,exhausted,,,,
2026-09-03,arbeit.swiss,322,,,4147,exhausted,,,,
2026-09-03,arbeit.swiss,712,,,3754,exhausted,,,,
2026-09-03,arbeit.swiss,711,,,3557,exhausted,,,,
2026-09-03,arbeit.swiss,311,,,2974,exhausted,,,,
2026-09-03,arbeit.swiss,221,,,2913,exhausted,,,,
2026-09-03,arbeit.swiss,720,,,2178,exhausted,,,,
2026-09-03,arbeit.swiss,721,,,1840,exhausted,,,,
2026-09-03,arbeit.swiss,723,,,1839,exhausted,,,,
2026-09-03,arbeit.swiss,411,,,1450,exhausted,,,,
2026-09-03,arbeit.swiss,931,,,1444,exhausted,,,,
2026-09-03,arbeit.swiss,513,,,1280,exhausted,,,,
2026-09-03,arbeit.swiss,522,,,1267,exhausted,,,,
2026-09-03,arbeit.swiss,333,,,1243,exhausted,,,,
2026-09-03,arbeit.swiss,834,,,1150,exhausted,,,,
2026-09-03,arbeit.swiss,251,,,1141,exhausted,,,,
2026-09-03,arbeit.swiss,441,,,1099,exhausted,,,,
2026-09-03,arbeit.swiss,432,,,1043,exhausted,,,,
2026-09-03,arbeit.swiss,512,,,1039,exhausted,,,,
2026-09-03,arbeit.swiss,713,,,1005,exhausted,,,,
2026-09-03,arbeit.swiss,911,,,974,exhausted,,,,
2026-09-03,arbeit.swiss,611,,,956,exhausted,,,,
2026-09-03,arbeit.swiss,515,,,903,exhausted,,,,
2026-09-03,arbeit.swiss,332,,,874,exhausted,,,,
2026-09-03,arbeit.swiss,214,,,870,exhausted,,,,
2026-09-03,arbeit.swiss,242,,,866,exhausted,,,,
2026-09-03,arbeit.swiss,312,,,836,exhausted,,,,
2026-09-03,arbeit.swiss,325,,,735,exhausted,,,,
2026-09-03,arbeit.swiss,431,,,667,exhausted,,,,
2026-09-03,arbeit.swiss,241,,,663,exhausted,,,,
2026-09-03,arbeit.swiss,331,,,647,exhausted,,,,
2026-09-03,arbeit.swiss,243,,,601,exhausted,,,,
2026-09-03,arbeit.swiss,300,,,599,exhausted,,,,
2026-09-03,arbeit.swiss,132,,,533,exhausted,,,,
2026-09-03,arbeit.swiss,810,,,508,exhausted,,,,
2026-09-03,arbeit.swiss,933,,,484,exhausted,,,,
2026-09-03,arbeit.swiss,226,,,473,exhausted,,,,
2026-09-03,arbeit.swiss,341,,,457,exhausted,,,,
2026-09-03,arbeit.swiss,941,,,449,exhausted,,,,
2026-09-03,arbeit.swiss,334,,,428,exhausted,,,,
2026-09-03,arbeit.swiss,263,,,424,exhausted,,,,
2026-09-03,arbeit.swiss,422,,,402,exhausted,,,,
2026-09-03,arbeit.swiss,121,,,384,exhausted,,,,
2026-09-03,arbeit.swiss,112,,,366,exhausted,,,,
2026-09-03,arbeit.swiss,532,,,360,exhausted,,,,
2026-09-03,arbeit.swiss,321,,,356,exhausted,,,,
2026-09-03,arbeit.swiss,261,,,332,exhausted,,,,
2026-09-03,arbeit.swiss,343,,,289,exhausted,,,,
2026-09-03,arbeit.swiss,216,,,285,exhausted,,,,
2026-09-03,arbeit.swiss,833,,,281,exhausted,,,,
2026-09-03,arbeit.swiss,134,,,278,exhausted,,,,
2026-09-03,arbeit.swiss,541,,,274,exhausted,,,,
2026-09-03,arbeit.swiss,252,,,267,exhausted,,,,
2026-09-03,arbeit.swiss,250,,,240,exhausted,,,,
2026-09-03,arbeit.swiss,830,,,232,exhausted,,,,
2026-09-03,arbeit.swiss,351,,,229,exhausted,,,,
2026-09-03,arbeit.swiss,122,,,228,exhausted,,,,
2026-09-03,arbeit.swiss,731,,,225,exhausted,,,,
2026-09-03,arbeit.swiss,722,,,217,exhausted,,,,
2026-09-03,arbeit.swiss,335,,,202,exhausted,,,,
2026-09-03,arbeit.swiss,751,,,193,exhausted,,,,
2026-09-03,arbeit.swiss,200,,,188,exhausted,,,,
2026-09-03,arbeit.swiss,752,,,141,exhausted,,,,
2026-09-03,arbeit.swiss,235,,,133,exhausted,,,,
2026-09-03,arbeit.swiss,421,,,129,exhausted,,,,
2026-09-03,arbeit.swiss,524,,,119,exhausted,,,,
2026-09-03,arbeit.swiss,514,,,115,exhausted,,,,
2026-09-03,arbeit.swiss,141,,,113,exhausted,,,,
2026-09-03,arbeit.swiss,742,,,103,exhausted,,,,
2026-09-03,arbeit.swiss,754,,,92,exhausted,,,,
2026-09-03,arbeit.swiss,962,,,91,exhausted,,,,
2026-09-03,arbeit.swiss,961,,,81,exhausted,,,,
2026-09-03,arbeit.swiss,342,,,76,exhausted,,,,
2026-09-03,arbeit.swiss,811,,,64,exhausted,,,,
2026-09-03,arbeit.swiss,816,,,57,exhausted,,,,
2026-09-03,arbeit.swiss,523,,,56,exhausted,,,,
2026-09-03,arbeit.swiss,732,,,56,exhausted,,,,
2026-09-03,arbeit.swiss,264,,,54,exhausted,,,,
2026-09-03,arbeit.swiss,815,,,52,exhausted,,,,
2026-09-03,arbeit.swiss,832,,,51,exhausted,,,,
2026-09-03,arbeit.swiss,262,,,43,exhausted,,,,
2026-09-03,arbeit.swiss,821,,,43,exhausted,,,,
2026-09-03,arbeit.swiss,111,,,42,exhausted,,,,
2026-09-03,arbeit.swiss,142,,,40,exhausted,,,,
2026-09-03,arbeit.swiss,212,,,39,exhausted,,,,
2026-09-03,arbeit.swiss,813,,,39,exhausted,,,,
2026-09-03,arbeit.swiss,213,,,34,exhausted,,,,
2026-09-03,arbeit.swiss,814,,,33,exhausted,,,,
2026-09-03,arbeit.swiss,812,,,32,exhausted,,,,
2026-09-03,arbeit.swiss,231,,,26,exhausted,,,,
2026-09-03,arbeit.swiss,613,,,26,exhausted,,,,
2026-09-03,arbeit.swiss,313,,,25,exhausted,,,,
2026-09-03,arbeit.swiss,753,,,22,exhausted,,,,
2026-09-03,arbeit.swiss,621,,,22,exhausted,,,,
2026-09-03,arbeit.swiss,211,,,21,exhausted,,,,
2026-09-03,arbeit.swiss,516,,,21,exhausted,,,,
2026-09-03,arbeit.swiss,230,,,19,exhausted,,,,
2026-09-03,arbeit.swiss,225,,,19,exhausted,,,,
2026-09-03,arbeit.swiss,352,,,19,exhausted,,,,
2026-09-03,arbeit.swiss,324,,,17,exhausted,,,,
2026-09-03,arbeit.swiss,612,,,16,exhausted,,,,
2026-09-03,arbeit.swiss,315,,,15,exhausted,,,,
2026-09-03,arbeit.swiss,511,,,14,exhausted,,,,
2026-09-03,arbeit.swiss,223,,,14,exhausted,,,,
2026-09-03,arbeit.swiss,265,,,11,exhausted,,,,
2026-09-03,arbeit.swiss,817,,,7,exhausted,,,,
2026-09-03,arbeit.swiss,314,,,7,exhausted,,,,
2026-09-03,arbeit.swiss,011,,,0,exhausted,,,,
2026-09-03,arbeit.swiss,622,,,0,exhausted,,,,
2026-09-03,arbeit.swiss,323,,,0,exhausted,,,,
2026-09-03,arbeit.swiss,835,,,0,exhausted,,,,
2026-09-03,arbeit.swiss,700,,,0,exhausted,,,,
