rank,company,domain,industry,revenue_usd,employees,city,state,careers_url,ats,ats_url,tier_recommendation,confidence
1,Amazon,amazon.com,Technology,716900000000,1556000,Seattle,Washington,https://www.amazon.jobs/en/,custom,,tier2_llm_http,medium
2,Walmart,walmart.com,Retail & Consumer Goods,713200000000,2100000,Bentonville,Arkansas,https://careers.walmart.com/us/en/home,custom,,tier2_llm_http,medium
3,UnitedHealth,unitedhealthgroup.com,Healthcare & Pharma,447600000000,400000,Eden Prairie,Minnesota,https://www.unitedhealthgroup.com/careers/en/work.html,taleo,https://uhg.taleo.net/careersection/10000/mysubmissions.ftl?lang=en&_ga=2.23846650.1771508559.1675694409-1290630793.1650297848,tier1_ats,high
4,Apple,apple.com,Technology,416200000000,164000,Cupertino,California,https://www.apple.com/careers/us/,custom,,tier2_llm_http,medium
5,Alphabet,abc.xyz,Technology,402800000000,183323,Mountain View,California,https://www.google.com/about/careers/applications/,custom,,tier2_llm_http,medium
6,CVS Health,cvshealth.com,Healthcare & Pharma,402100000000,259500,Woonsocket,Rhode Island,https://jobs.cvshealth.com/us/en,phenom,,tier1_ats,medium
7,McKesson,mckesson.com,Healthcare & Pharma,387100000000,48000,Irving,Texas,https://careers.mckesson.com/en?utm_source=www.mckesson.com&utm_medium=referral&utm_campaign=redirect,talentbrew,https://tbcdn.talentbrew.com/company/733/css/58249-GST.css,tier1_ats,high
8,Berkshire Hathaway,berkshirehathaway.com,Insurance,377000000000,392400,Omaha,Nebraska,https://bhhc.com/careers-at-bhhc/,custom,,tier2_llm_http,medium
9,Exxon Mobil,exxonmobil.com,Energy & Utilities,332200000000,60900,Spring,Texas,https://corporate.exxonmobil.com/careers,custom,,tier2_llm_http,medium
10,Cencora,cencora.com,Healthcare & Pharma,321300000000,44000,Conshohocken,Pennsylvania,https://careers.cencora.com/us/en,phenom,,tier1_ats,medium
11,Microsoft,microsoft.com,Technology,293800000000,228000,Redmond,Washington,https://careers.microsoft.com/v2/global/en/home.html,custom,,tier2_llm_http,medium
12,Costco,costco.com,Retail & Consumer Goods,275200000000,333000,Issaquah,Washington,https://www.costco.com/f/-/careers,custom_js_only,,tier3_llm_browser,low
13,Cigna,thecignagroup.com,Healthcare & Pharma,268100000000,72398,Bloomfield,Connecticut,https://cigna.wd5.myworkdayjobs.com/cignacareers,workday,https://cigna.wd5.myworkdayjobs.com/cignacareers,tier1_ats,medium
14,Cardinal Health,cardinalhealth.com,Healthcare & Pharma,234300000000,48411,Dublin,Ohio,https://jobs.cardinalhealth.com,custom,,tier2_llm_http,medium
15,Elevance Health,elevancehealth.com,Healthcare & Pharma,194800000000,103679,Indianapolis,Indiana,https://careers.elevancehealth.com,paradox,https://cdn.sites.paradox.ai/common-libraries/font-awesome/css/all.css,tier3_llm_browser,high
16,Ford Motor,ford.com,Manufacturing & Industrial,189600000000,171000,Dearborn,Michigan,https://www.careers.ford.com/,talentbrew,https://tbcdn.talentbrew.com/company/48560/v1/third-party/fancybox/fancybox.css,tier1_ats,high
17,Meta,meta.com,Technology,189500000000,74067,Menlo Park,California,https://www.meta.com,workday,https://www.meta.com,tier1_ats,medium
18,Chevron,chevron.com,Energy & Utilities,188700000000,45298,Houston,Texas,https://careers.chevron.com/,talentbrew,https://tbcdn.talentbrew.com/company/27552/v2_0/css/jquery-fancybox-min.css,tier1_ats,high
19,General Motors,gm.com,Manufacturing & Industrial,187400000000,162000,Detroit,Michigan,https://search-careers.gm.com/en/,beamery,https://flows.beamery.com/generalmotors/talcom/0,tier3_llm_browser,high
20,Nvidia,nvidia.com,Technology,187100000000,36000,Santa Clara,California,https://jobs.nvidia.com/careers,workday,"https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/login&#34;,",tier1_ats,low
21,Centene,centene.com,Healthcare & Pharma,167700000000,60500,St. Louis,Missouri,https://jobs.centene.com/us/en,workday,https://centene.wd5.myworkdayjobs.com/centene_external,tier1_ats,high
22,JPMorgan Chase,jpmorganchase.com,Banking & Financial Services,167200000000,317233,New York,New York,https://www.jpmorganchase.com/careers,oracle_recruiting,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions,tier1_ats,medium
23,Home Depot,homedepot.com,Retail & Consumer Goods,166200000000,470100,Atlanta,Georgia,https://careers.homedepot.com,brassring,https://sjobs.brassring.com/TGnewUI/Search/Home/Home?partnerid=25526&amp;siteid=5032,tier1_ats,high
24,Walgreens,walgreensbootsalliance.com,Other,154600000000,252500,Deerfield,Illinois,https://jobs.walgreens.com/en,talentbrew,https://tbcdn.talentbrew.com/company/27552/v2_0/css/jquery-fancybox-min.css,tier1_ats,high
25,Fannie Mae,fanniemae.com,Banking & Financial Services,152700000000,8200,Washington,District Of Columbia,https://www.fanniemae.com/careers,custom,,tier2_llm_http,medium
